Heading,Div Text
"""Never again BA""","✅ Trip Verified |   Caught up in the Gatwick cancellation fiasco; at some point between what was smooth check in (unable to do online as part of group travel) and security, the flight was cancelled; (we were denied entry to security and departures as a result). It was at this point that we discovered BA Gatwick are not BA, but a masquerade, who are unable to help and and provide very little assistance unless the 'real BA' provide information, and even though our baggage was now airside, didn't have a clue as to how we could get it back. It is, however, with thanks to a supervisor from Business Class check in, who came to our assistance and help with our predicament- baggage retrieval, information on what to claim and how, and our revised BA flight from LHR the following evening. (Difficult to give a rating for cabin service as we didn't even board the aircraft)"
"""BA Gatwick are not BA""","✅ Trip Verified |   BA has a real problem with boarding it's flights. Those who get on first fill the luggage bins with 2 bags, one of which is supposed to be small and under seat only. Cabin staff don't bother implementing their own rules. Subsequent passengers mill up and down the aisle, bumping into each other, searching for space. Boarding this flight took an hour as a result of this nonsense. The incoming flight was late already so our 90 minute flight was 90 minutes late."
"""Boarding flight took an hour""",✅ Trip Verified | Our connecting flight from London to Glasgow was canceled and we were forced to wait 12 hours in the airport for a new flight. When we received our luggage at Glasgow we discovered that our luggage was soaking wet. My wife’s luggage contents were wet and had to be air dried.
"""our luggage was soaking wet""","✅ Trip Verified |   The worst airline I have ever flown with. Allocated the very back row next to the toilets and galley. No chance of getting any sleep, question asked of possible seat movement ignored and getting bumped the entire time by cabin crew walking or pushing kart up and down aisle without one apology. Would have been better sitting in the luggage compartment."
Customer Reviews,"✅ Trip Verified |   Excellent service levels, proactive crew and superb food and beverages. I found all aspects of the service to be superior to BA business class, even the new BA Club Suites. First Class felt exclusive, the dedicated crew were clearly used to working the premium cabin, enjoying their work, were proactive, friendly, very respectful and the food and beverage offering a considerable step up from business class. The seat, with sliding double doors was spacious, well designed and very comfortable.  British Airways offered a solid First Class service, from Concorde Lounge to boarding (which was actually by group number for a change) to the very warm and genuine welcome on boarding. A consistent, solid, comfortable service from start to finish and if the price was right, I would not hesitate to book First Class with British Airways again."
"""Excellent service levels""","Not Verified |  Booked a very special holiday for me and my partner, September arrived and we were on our way to lovely South of France, Booked Business Class for us both to start the holiday right. As we were checking I was told the flight was over booked and our seats wouldn't print onto the ticket for some reason. We had already made sure the seats were booked when we had booked the flights nearly a year prior to going. Unfortunately when we arrived at the gate we were then told we would no longer be sat together and one of us would in fact have to go into economy. My girlfriend is an extremely nervous flyer and so had to take extra tablets to remain calm, She didn't have any food which we had pre booked also and she was sat right down the bottom end of the flight. We were held at the gate with another 4 or 5 couples all in the same predicament all due to the lovely money grabbing British Airways over booking the flight. They ended up refusing passengers in the end and even had people sat on the fold down chairs in the toilet area. When we eventually arrived in France late, we was waiting for our luggage to come. Our airtags stated that both our cases was in fact still in Heathrow. We then had to wait 4 days for them to eventually come into France by this point our holiday was ruined. British Airways was absolutely shocking, we couldn't speak to anyone as all the phone numbers were no longer in use. We felt stranded in a foreign country with no clothes and no one to help use with what to do next. Every day we watched them case not moved as we were tracking with air tags. it was so frustrating not being able to plan our days in hope we would get the call to then drive all the way back to the air port 2 hours each way to collect our cases. we ended up going out and buying new clothes toiletries and all the stuff to make the best of our ruined holiday, saving all the receipts thinking we would be able to claim it all back. how wrong I was. British airways take zero responsibility and fob me off with going through my insurance. British Airways only pay for basic essentials, Pants and toothpaste. I filed a complaint when I got back and requested my money back for business class and they haven't even had the decency to even respond. They are an absolute joke of a company and I wish they would remove British out of there name because there is nothing British about them. Do not give them your money, they cant even look after their staff let alone customers. Oh and don't bother trying to cancel your flight either as they just take all of your money off you and give you nothing back."
"""British Airways was absolutely shocking""","Not Verified | Just returned from Chicago, flew out 10 days ago on American Airlines absolutely superb in every way, had high expectations on return flight with BA. What a disappointment. The Airbus A380 may be nice from a pilots perspective but as a passenger it was awful. Very uncomfortable seats, the inflight entertainment and flight tracker failed to work throughout the flight, the inflight meal was inedible and the service was mediocre at best. Our short flight from Heathrow to Manchester was much improved, very welcoming and attentive in flight staff and the flight even arrived early. In future we will travel with one of the American carriers."
"""service was mediocre at best""","✅ Trip Verified |  BA standards continue to decline every time I fly with them. This time, a 45 min late departure, which seems the norm for BA, and no information from the rude and clueless boarding gate staff. The Club lounge was overcrowded, dirty and grubby and cleaning staff could not cope. How many more cutbacks is BA going to apply before they become truly low cost. As a 35 year veteran user of BA, while people complained of Alex Cruz cutting costs, the past 3 years has seen them decline very quickly under their latest CEO. One reads the occasional article about BA improving things, but I have yet to see anything substantive. There seem to be few British staff left amongst the cabin crew, so maybe time for a name change and give the flag carrier status to a proper low-cost - and sadly the staff service has declined year on year. Onboard, the catering remains poor and surprised that Do&Co can produce such rubbish meals when I have sampled their Turkish Airlines equivalent in August that was superb - guessing BA are too tight with their budget. Onboard WiFi service is a joke and should be avoided."
"""BA standards continue to decline""","Not Verified |  Awful. Business class check in queue just as long as for economy, probably because half of the desks were not staffed and Terminal 5 is chaotic. Business lounge overfull, couldn't get seats. Delayed flight, unmanaged chaos at the gate. No drink on boarding, first drink served an hour after take-off. The meal was poor, used to get better in economy on other airlines. British Airways has won the race to the bottom of the cheapskate stakes. Not looking forward to the flight home."
"""won the race to the bottom""","✅ Trip Verified |  Not a reliable airline. You cannot trust the timing at all. I had a 6.45am flight, boarding was on time, but then we are sitting in the plane for already (1.5 hours) and the expected departure is still not clear. They have discovered the engine is not working! I am risking to be late for a business meeting in Geneva. How come they bring a not working plane to the gate. The funny thing is that I had another business trip in spring 2023, also with BA to Amsterdam. When I arrived to the Airport that time - I was told I don't have a seat. I was put on the next flight in several hours, which should have get me to the business meeting late, but still not too much. A lot of stress. In the end, on the second plane we were sitting in the cabin for 1.5 hours and I have missed the meeting. I thought it was a dramatic unlucky case that time, but today I see it's routine for BA not to fly on time."
"""Not a reliable airline""","✅ Trip Verified |  I take comfort in reading the last ten or so reviews to see I'm not the only traveller to put in words, how absolutely abysmal British Airways are! The only reason we are stuck using this awful airline is to use up points. We booked Club Europe months ago. London to Athens, sat in row 3 and told they had run out of food options, only choice was lentil pie or green curry. Returning Athens to London Club Europe. Couldn't check in online as promised so arrived at the airport 3hrs early. To be told they had overbooked the flight and basically we were being 'bumped' to economy. This airline fails to deliver time and time again. It is a national disgrace and I implore everyone to choose an alternative."
"""It is a national disgrace""","✅ Trip Verified |  The worst journey in my life. The connection time at LHR was only 1 hour, but the flight from MXP was on delay. I had to rush to change terminal by train and arrived risking a heart attack. After that the plane just stayed there for another 40 minutes. Despite that, upon arrival at SJC my baggage was lost. I filled the form and gave to the employee. I was not given any receipt, so I did not have any reference number. BA phone number at SJC simply never answer. I called twice the toll free number and realized they did not record the delivery address. I had to enter myself online, dealing with a shitty website. They delivered the baggage three days later. I claimed for compensation online, as I had to buy clothes and other stuff and I did never get a receipt. I was expecting an upgrade for the flight back to MXP, but nothing happened, neither they allowed me to enter BA lounge at SJC. Bad customer service. The only positive side was price, but obviously this cannot justify this treatment and if I knew , I would never flown by BA. Never again!"
"""The worst journey in my life""","✅ Trip Verified | The airplanes and the lounges are worn out, old and broken. From Dallas to Heathrow, multiple first class seating and electronics were non functional and poorly designed. The first class seating from Heathrow to Dubrovnik was nothing more than a tray blocking the middle seat of a standard coach ticket. Very disappointed."
"""Very disappointed""","✅ Trip Verified | One of the worst experiences on the worst airline. The flight was delayed due to earlier technical issues. The time slipped from 17:00 to 20:00 to 22:00 and finally cancelled. There was zero information given. Despite paying well over the odds for business class, we were booted out of the BA lounge two hours before the flight. When it was finally cancelled, the BA staff. Without explanation, told everyone to go to a gate. After another hour or so they made us re enter the UK via passport control, a further 40 minute wait. By now the airport was closing and there was no sign of our bags or any help from BA. A passing Gatwick engineer finally helped us locate the bags. BA completely washed their hands of us and in contravention of CAA rules refused to find us accommodation. Many slept in a bus stop overnight. There were people with young children who couldn’t find somewhere to stay and yet BA had closed down and left. The following day the replacement flight was also late and due to an admin mistake had no catering or liquids for a 2 1/2 hr flight. Overall the service was shockingly bad, the worst I have experienced from any airline. I will not ever use them again."
Customer Reviews,"✅ Trip Verified |  Cancelled our flight last-minute then moved us onto a flight 2 days later operated by Japan Airlines. We had paid a lot extra for extra legroom seats as I am very tall and they assigned me a middle seat deep in the middle of the plane. Because it was operated by a different airline but booked by BA, neither BA nor the other airline could change my seat over the phone despite seats being available. After 4 hours of waiting in queues and sitting on hold their solution was for me to arrive early at the airport. I did but the seats had already been given away for free by people who had booked directly with that airline and could check in online. I got a £10 meal voucher as compensation for this enormous downgrade on a 14 hour flight. Never again will I fly BA. I would rather fly indirect with better airlines than use this disgrace of an airline again."
"""Never again will I fly BA""","✅ Trip Verified | I had a flight from Miami, Florida to Dublin, Ireland, via London's Heathrow airport. The outbound flight from Miami was delayed and we were further delayed when our gate was occupied when we arrived in Heathrow. The total delay was roughly an hour, but it was enough to make our connection a challenge, where we had 73 minutes between original arrival time until the departure time to Dublin. When we headed to our connection flight, we were stopped by security personnel at a checkpoint and told us that the gate to our connection flight had already closed. This was twenty minutes prior to departure time. They ushered us to customer service to be rebooked. Given the busy weekend of travel, we were rebooked on a flight at a different airport and were told that our cost to get there would be reimbursed. We then waited 3 hours for our luggage, and then took a cab to London's City Airport. The cab fare was roughly $500. When I filed a claim with British Airways, they refused the claim and told me that we had plenty of time to make our connecting flight and therefore they denied my claim to be reimbursed for the cab fare. This is after I explained that it was British Airways employees who ushered us to rebook the flight despite the 20 minute timeframe to make the connecting flight. The person who rebooked us, told us it was policy that they close the gate 20 minutes prior to departure. I will never fly this awful airline again. Given the other feedback on this site, it appears that that is the overwhelming sentiment."
"""never fly this awful airline again""",✅ Trip Verified |  We started our day with BA in Prague. The flight actually left on time! I came to find out that’s very unusual. We purchased business class seats. As you can see from the picture they hardly were business class. All they did was block off the middle seat in the first few rows and called it business class. Horrible flight. In addition I had a really rude rude check in clerk basically yell at me when I excused myself and asked if she could give a little bit of priority to the many business class passengers who weren’t being served. Then we got to Heathrow and the real fun began. We had a 4 hour delay. They gave us about 5 different excuses for the delay. I had a few employees walk away while I was asking them questions. They were very rude. At one point there were no employees left. And from the announcements it seems virtually every BA flight was delayed. And there were no weather issues. There was no place to comfortably store items in business class. I’ve never experienced that before. Not even a cup holder for my bottle of water. The seat controls didn’t work well. You had to keep pushing the buttons to get them to do anything. The power outlet didn’t work. There was no internet the entire flight. The overhead luggage bin was too heavy. I almost got a hernia having to close it. This is a horrible airline. I’ll never fly with them again. If I could give zero stars I would.
"""I’ll never fly with them again""",✅ Trip Verified |  I fly British Airways weekly not because I want to but because they own the route there’s no other option therefore they frankly don’t have to care about the customer. The flights are always delayed and it’s always someone else’s fault be it weather delays to incoming aircraft or flight traffic control issues I’ve heard it all and for the life of me cannot understand why they are allowed to operate. I’ve been around the world and traveled with all of the world’s airlines but British Airways are really the worst of the worst. It’s such a shame to have watched what used to be a good company fall down a cliff. My advice is if you have an option to fly with anyone else then exercise the option but if you’re flying with different connections and you have a tight schedule do not expect BA to get you to your destination in time.
"""the worst of the worst""","Not Verified |  Everything was ok until our connecting flight in London, just before take off, we were on the runway, the pilot came on to announce an engine problem. After engineers tried to fix it while we waited on the plane for over an hour we were finally told that we would have to be evacuated and rebooked for another flight but not to worry because a special crew was waiting for us on the ground to help us and set us up in a hotel except that there was no one to help us. In fact everyone refused to help us. It was Saturday almost 8pm and they just wanted to go home. Anyone with a connecting flight couldn't rebook on the application because the app wouldn't disassociate our first flight with the connecting one in London and the staff saw this but still refused to help us. They gave us a phone number but there was only a message that said just to use the app. Finally I got someone on the phone who rebooked us for the next day. Now it's 10:30pm and I have to find a hotel room because the airline refused also to help us with that. So i had 2 choices either sleep in the airport or pay over 700GBP for a room. I don't have the money to pay for this but after a 10 hour flight, 8 hours of jet lag and the insane stress after the fact that no one from British Airways would help us I took the room. Of course I claimed reimbursement but that was over 3 weeks ago and I haven't heard anything since so I have no idea when or how much I'll be reimbursed, even though I'm not claiming any emotional compensation from the horrible situation they put me through due to their total indifference. It's financially difficult for me right now because the money I had to put out is equal to half my salary and of course it's impossible to reach them by phone. I feel still as i did on August 26 2023 completely trapped by them and their indifference with no solution or information"
"""everyone refused to help us""","Not Verified |  My initial flight was cancelled 8 hours prior the flight. Then I was automatically rescheduled for next day. Next day, the flight was delayed leaving Hamburg and missed my connecting flight to Las Vegas. Me and several other passengers spent the night in London. British Airways provided us with vouchers but the transfer bus dropped us at the wrong hotel (closest to our hotel) and told us that we can walk there if we want to. As a result, I lost two nights hotel reservations that I made in las Vegas. I opened a claim and provided all receipts to British Airways to get refund of my hotel reservations, but over 5 weeks now, not a single feedback from British Airways. I will avoid all flights with them in future, and will share this story."
"""not a single feedback from British Airways""",Not Verified |  We will never fly British Airways again. Our flight on July 15 2023 from LHR to LAX was cancelled 20 hours before departure without any explanation. Since 8 weeks we are now waiting for the refund and BA does not pay us the cost caused by the cancellation. Very disappointing.
"""never fly British Airways again""","✅ Trip Verified | Check in and security clearance very quick at LHR T5. My wife and I used the Galleries North lounge and at 6-00am it was easy to get a seat. Good buffet breakfast options. Flight boarded on time and flight departed on time. I was seated in 4 A, the Club Europe seats on the A320 seem to be getting smaller and legroom (I am 6ft) was very tight. Cabin Crew service was fine. I chose the full English breakfast, it was ok, but there was a lot of water in the bottom of the bowl. Flight landed on time. Overall an OK flight but Club Europe doesn’t feel very premium these days."
"""Club Europe doesn’t feel very premium""","Not Verified |  British Airways has confirmed itself as the worst airline in the UK. Last minute cancellation, no explanation, refusal to book with another airline “because we don’t have an arrangement with them”. What’s happened to what used to be our national airline?"
"""the worst airline in the UK""","✅ Trip Verified | Worst BA experience. I was supposed to fly out to Italy on 7 September 2023. I arrived at OR Tambo International airport ready to check my bags in (I already checked-in online the previous evening so I had my boarding pass ready). At the counter I was told that I had been off-loaded from the flight as my connecting flight has been cancelled. No information was sent regarding this beforehand. The team at the check-in counter tried to get me on another flight that evening, but there were no flights available. They did manage to get me another flight the following evening with Lufthansa to Italy via Frankfurt. However, I did miss the first part of my trip having arrived a day and a half later than I was supposed to. Upon moving the flights I did ask the BA staff whether my flights back are still valid and that everything is in order, which they assured me is correct. I have to fly back to South Africa on 18 September and upon checking my booking information I noticed on my BA account that my first flight (Milan to London) is just missing from my booking. My connecting from London to Johannesburg is still there. After spending the entire morning on the customer helpline two different operators picked up and in both instances, the moment I proceed to give my booking reference number, my call gets dropped. Currently it seems like I will be arriving at the airport again on Monday without a flight."
Customer Reviews,"✅ Trip Verified |  My daughter and I were denied boarding on our business class flight from Madrid to Heathrow in March 25, 2023, the first leg on our return flight to Victoria, Canada. No reason was given for the denied boarding by the check in staff at the British Airways counter in Madrid, who said they were only agents and told us to call British Airways. We were three hours early for the flight and had valid passports. After many tries we finally reached British Airways by phone, but we were told to call Expedia which had booked the flights. Expedia confirmed that we had been bumped from the flight, with no explanation as to why. Expedia then began a long process of finding alternative flights. Over the next 24 hours we had numerous calls with both Expedia and British Airways. Incredibly, the next available flights were 9 days later on April 3. This was almost unbelievable, but after many many tries it was the best we could do. Even though these were Business Class tickets. Part of the problem was that apparently rules did not allow any changes to routing for any segment of the flight. This nine day delay was a major problem for us. I had to miss work and my daughter was missing school. Further, we received no compensation from British Airways, no penalty fee, and not any reimbursement of our expenses for staying the nine extra days. After our return I began the British Airways online complaint process, and submitted all supporting documents. I received an email reply and a case reference number. And then nothing. I sent numerous follow up emails, and received no replies. It is now months later, and still I have not heard from British Airways. This is shocking, and definitely the worst airline service I have received for my thousands of flights over many decades. I am a very patient person and this is the first time I have commented on this type of forum. I think the public should be made aware of extremely poor customer service at British Airways."
"""the worst airline service""","✅ Trip Verified | Despite boarding being the usual free for all at LHR with groups 1-3 being called to board all at once. Whilst those passengers who had agreed to check in a bag in at the gate, getting to board before anyone else! However, the service on board was impeccable. Superb crew, friendly, attentive, interacting with passengers and generally appearing to be enjoying their job. Like BA in the old days and at its best. Food choice and quality seems to have improved too (no beef cheeks thankfully) and even the Club kitchen appears to have returned. Old style Club seating, but is at least better, and feels less cramped, on the 787's."
"""service on board was impeccable""","Not Verified |  Flight cancelled, no crew! 9th September 2023, not peak holiday period so why such bad management by BA? Sent to the gate left standing of over and hour and then flight cancelled. As were other on that day. Why does BA continue to provide such poor service - a national disgrace."
"""a national disgrace""","Not Verified |  The worst service ever, my baggage did not arrive on time. Both my flights were delayed. I will never fly them again.  Even the food was bad and your service."
"""The worst service ever""",✅ Trip Verified |  4/4 flights we booked this holiday were delayed about 1-2 hours. No wifi available on 2 of 4 flights Food and drinks very basic and expensive. Cannot recommend
"""Cannot recommend""","✅ Trip Verified |  British Airways has a total lack of respect for its customers. I was booked to fly from Frankfurt Main to London City Airport, and just a couple of hours before the scheduled departure the flight was suddenly cancelled by BA without explanation, when I was already at the airport. The worst thing was the utter callousness that staff showed towards customers. The ground staff’s attitude was that they are merely third party agents, not BA employees, and therefore they quickly washed their hands of us all, telling us we had to contact BA directly via phone if we wanted help. They couldn’t even provide us a phone number, telling us to look it up on ba.com ! So BA abandoned its passengers. They did tell us that the BA departure to Heathrow had also been cancelled, meaning there would be no further BA flight from Frankfurt to London that day (although other airlines were still operating the route- but BA refused to rebook us on them). The reason given for both cancellations was “technical reasons”. No assistance or information was provided on our rights due to cancellation, nor any information on help regarding food/ accommodation help etc. Their attitude was literally that the cancellation had nothing to do with them and it was our problem, not theirs. I received an email an hour later notifying me that I had been automatically rebooked on an alternative flight 24 hours later, which wasn’t acceptable as I had to get back to London that night. I rang BA’s call centre and again, they showed a high degree of callousness. 95% of the half-hour call was spent with me waiting on hold, with the phone just cutting off after half an hour, and no meaningful information given to me by that point. There was no attempt by the call operator to call me back when the line cut (and I had a solid phone signal and wifi as I was still standing in Terminal 2 of Frankfurt Main airport), even though my phone number is listed in my booking contact details. They just don’t care. In the end I had to arrange my own return to London by taking a coach to Hanh airport which was 112km away , waiting there for 5 hours and then booking an expensive last minute ticket with Ryanair to Stansted. At least that flight operated on time and got me back to London! BA is worse than a low cost carrier now."
"""BA is worse than a low cost carrier""","✅ Trip Verified | London Heathrow to Keflavik, Iceland in Business Class on an A321. British Airways provides an unusual Business Class experience for intra-Europe flights. The seating is similar to most airlines - middle seat vacant and little extra space - but on British Airways the Business Class cabin extends to almost half the aircraft. This makes it less than a premium experience at every step, from boarding to onboard. The WiFi worked for only half the flight and there are no refunds. But when it worked it was surprisingly fast. Service on this flight was very good and we got to Keflavik on time."
"""less than a premium experience""","✅ Trip Verified | Mumbai to London Heathrow in Business Class on an ageing B777-200. This aircraft featured the older Club World flatbed seats. They are comfortable, there is enough storage space around the cubicle, and the monitor screen is among the larger ones I've seen on airplanes. BA's new Club Suites are said to be far superior, competing with the best B-class rivals. The entire Business Class cabin had just 2 washrooms but it wasn't an issue on this flight since the premier section wasn't at full capacity. There was Wi-Fi on board, fast enough to even send videos via messaging apps. Service onboard was competent but the staff lacked warmth. The food was alright and no more. The biggest plus of this flight is that it gets out of Bombay at 1:10 pm in the afternoon instead of the ungodly early morning hours most international flights take off from India. The airport experience is far more pleasant at this time. In summary: British Airways provides a good, but not spectacular, Business Class product."
"""good, but not spectacular""","✅ Trip Verified |  Care and support shocking. Written by a previously loyal BA traveller. Lies and misleading unprofessional service. Told that my flight was cancelled. Booked on to next available flight in downgraded cabin from business to premium economy. Called to ask why. Told technical fault with my original flight. My suspicion was another reason. At airport, check in staff said that not enough crew to staff original flight earlier in day. Why take my money and allow me to book a flight which would have allowed me to get to work as a doctor in the first place! How can you trust such an organisation to look after you as a flying customer."
"""Lies and misleading unprofessional service""",✅ Trip Verified |  Flying A380 business class should be a pleasure but BA has made it a disaster with the worst seating and configuration imaginable. How could any sane person could jam so many seats into a limited space and expect passengers to be happy. Seats are narrower than economy on some airlines and you must face another person until a plastic screen is raised. The Tv screens are the size of a medium sized tablet and the controls are behind your head in a sitting position. There is no where to put anything except one small pull out draw at ground level that can not be reached when seated nor accessed when sleeping . The window seats and middle seats are accessed by having to jump over a passenger on an aisle seat and the seats are so low that they are hard for elderly to get out of. The whole business class set up is a sick joke. Eating is difficult because the seat is not close enough to the table and the tables are so flimsy that drinks can fall off. Are there any redeeming features - the answer is no. If you like a little comfort avoid BA like the plague.
Customer Reviews,"✅ Trip Verified |  British Airways absolutely does not care. My reserved seat was change from an aisle to center seat for this overnight, full flight and it was quite awful. After enquiring at LAX check in, the agent said sorry, nothing we can do. Onboard the flight the attendants seemed to try and finish the meal service at a racing speed, with meals trays passed out with no proper questions about choice. Then back and clearing trays and they disappeared to rest in the kitchen for hours after that. No water runs, if you need anything do not bother with the call bell, as they simply ignore it. I used to like travelling British Airways 10-15 years ago, but the bean counters have been in and lowered it close to a lowcost carrier. I guess staff are badly paid from their terrible attitude and service. My last trip to London was with Delta, they are so much better than this very poor excuse of an airline that British Air has now become."
"""British Airways absolutely does not care""","✅ Trip Verified |  My recent experience with British Airways was not just horrendous, it was an utter abdication of responsibility on their part. I arrived at JFK ready for my flight to Malaga, only to find it had been cancelled with zero notice. After a draining 2-hour altercation, I was finally placed on a different flight. The nightmare continued when I landed in Malaga sans luggage, containing essentials for my son's wedding. Thirty agonizing hours later, the bags showed up—but my brand-new iPad and a special watch for my nephew were missing. The items weren't merely valuable; they had emotional significance, which made the loss even more gut-wrenching. You'd think a reputable airline would make amends for such  errors.  Despite the clear mishandling of my baggage by their team, they refused to offer any reimbursement or even a modest amount of airline credit. Their customer service was not only ineffective but also astonishingly callous. Their response was, in essence, ""It's your fault for trusting us with your belongings."" This isn't just poor customer service; it's a complete disregard for basic human decency and responsibility. British Airways had numerous opportunities to right their wrongs and chose not to. If you have any respect for your time, belongings, and emotional well-being, avoid British Airways at all costs. They not only fail to deliver on promises but also refuse to make amends when they err, leaving customers to bear the brunt of their incompetence."
"""utter abdication of responsibility""","✅ Trip Verified |  This is to express our displeasure and concerns regarding our flight to Italy. Our trip was effectively ruined by the failure of our luggage to arrive with us, coupled with the length of time it took for it to eventually reach us (9 and 12 days)! Our departure dates: June 19, 2023 - Flight BA 294, Chicago to London. June 20 rebooked by BA on BA 546, London to Rome. All flights were late. On arrival in Rome, my wife was forced to walk to the check-in desk because our reservation for wheelchair assist from the plane was never transferred by BA. She was told by the cabin crew that there was no reservation for her transport. Also, our checked baggage (2) failed to make the BA rebooked flight from London to Rome. BA took 9 days to deliver my bag and 12 days to deliver my wife's. I called BA Baggage Claim Services daily. I was frequently cut off after waiting on hold for over an hour. We had Apple Air tags in both bags, and sent pictures showing their exact location to BA Baggage Claim several times. After 5 days, BA stated that they found my wife's bag, but needed to verify ownership! Both bags as described had bright pink 4” easily visible tags and bright pink bows. Taking 9 and 12 days to deliver them is inexcusable. Our return date: July 3 - BA 553, Rome to London. BA 297, London to Chicago. All flights were late. We arrived in Chicago more than 3 hours late, missing our ground transportation to our home in Michigan (3 hours away). We had to find a hotel and stay overnight near Chicago. On July 12 we filed our expenses for replacement of lost clothing and toiletries, also for food purchased at Heathrow due to the flight delay and overnight hotel charges in Chicago. After 2 weeks, I went online asking for some follow-up on both cases, but have had no response at all from BA. We are retirees on fixed income, and cannot fund BA’s errors. I can honestly say that the times I was able to reach a human being, they were all courteous and attempted to help, but appeared at a loss."
"""express our displeasure and concerns""","✅ Trip Verified |  I flew London to Malaga on 27 August in Club Europe. We stood around at Gate B45 in Terminal 5 for over an hour, with staff giving very different reasons for the delay, late inbound aircraft etc - but the plane we boarded had been sitting there for more than an hour! After boarding, the captain stated that because they had changed planes there would be no meals served. This is Club Europe, and we received one small packet of crisps throughout the flight. No effort to apologise. We smelt the hot meal for pilots being heated and then saw it being served to them on a Club Europe meal tray. Cabin crew also had warmed pastries ( and were very quick to use air freshener in the front galley!) while customers received zilch. BA sent an email the following morning to say sorry - nothing else. What a complete and utter rip off by an airline that is already cutting back on so many things. I paid a full Business class fare, did not receive any part of the onboard meal service and they expect an email to be sufficient. Avoid BA if you have any other option nowadays, they are the worst in Europe."
"""they are the worst in Europe""","✅ Trip Verified |  I arrived at the airport about 2.5 hours before takeoff to have more than about time to get checked in, go through security, etc. All that went without any issues. Being that I was relatively early at the gate, I was one of the first passengers there. After some time boarding had opened. First the business class got called up, then families with children and disabled people. A couple minutes into the boarding they started to call up people, one by one, by name. Then there was an announcement: they won’t let anyone in anymore. Me and about fifty other people were still standing at the gate not being let in. The reason, they said, was that the plane was short staffed (Later I discovered, speaking to a manager, that not only the flight was short staffed but also it was overbooked). After the announcement people were getting angry because they wouldn’t be let in anymore. Nothing changed and everyone was sent away. I had a connecting flight later that day that I was going to miss because I was not let on the plane. First I tried to get my luggage back which I didn’t receive immediately but got a hold of later on thanks to the airport personnel. Then, just like everyone who was going to fly with the same plane, I wanted to talk to someone from British Airways. Since they don’t have a service center at Frankfurt Airport everyone went to the check-in counters where we received food vouchers but not a single person was either able to rebook my or anyone’s flight nor get anyone refunded. All the staff said was that we were going to receive an email in a couple hours with options to rebook the flight or get a refund. I waited four hours for the email at the airport that did not come until today. Trying to call the airline did not help either because they did not answer the phone or hung up in the middle of the conversation. After the four hours of waiting for the email me and some other people from the same flight went back to the check-in counter to get a confirmation from them that I will receive a refund. Being that there was a new shift the personell did not know what had happened. When they scanned my passport an looked at the flight they found out that the system was dying that it was my fault I could not attend the flight. It looked like I had missed it. For everyone standing there with me it was exactly the same. But the people at the counter said they could not do anything about it. Later on we were able to speak to the manager after many phone calls he said they were going to take care of it. We are supposed to get an email at some point in the future. I was not able to get a written confirmation that I will get refunded even after several times asking for it. I already flew a lot of times in my life but never ever has such a thing a happened to me. Not only that me and so many other people were not let into the plane but also the customer service being so horrible that they were not able to rebook or confirm a refund in any way. In the end the only option for me to get to my destination would have been to book a last minute flight for a lot of money which I would not know if I ever got it backed."
"""customer service being so horrible""","✅ Trip Verified |  Filthy plane, cabin staff ok, appalling customer service staff who couldn’t care less when dealing with a complaint. Paid extra for club Europe/business class. Food was poor, they gave you wipes to clean your seat area yourself and we were split up so they could accommodate families. Not really what you expect when you pay for the extra service. Will be cancelling our other bookings we have with BA, even if that means we lose our deposit."
"""appalling customer service""","✅ Trip Verified |   Chaos at Terminal 5 with BA cancellations and delays, and staff give different reasons depending on who you ask. 9 out 10 answers were lies. Sadly, BA airport standards at T5 are worse than ever, and we are long past being able to use Covid as an excuse. As a short haul club Europe trip, I expect very little from BA any more, and they barely even provide that, with cutbacks during Covid that are now permanent. If you can find an alternative carrier on the same route, choose them rather than BA. Sadly, on my route BA have a monopoly."
"""standards are worse than ever""","Not Verified |  BA cancelled our flight and could not book us onto any flight for the next 4 days. I had to spend £5k in expenses to get us back with another airline. 2 months later I am still waiting for reimbursement and have had no response to my 3 written complaints. Even the call centre staff tell me that head office have taken down the telephone number and email for the department who deal with this, so even they cannot escalate or inquire. Utterly useless."
"""still waiting for reimbursement""","✅ Trip Verified | When on our way to Heathrow Airport and merely 2 and a half hours before the scheduled departure, we received an SMS stating that our flight to Johannesburg had been canceled an no reason given. We were then put on the same flight one day later with no other choice offered. As we were already at the airport, we proceeded to check in to ask what caused the cancellation (apparently the pilot was sick and there was nobody available on standby) and what we could do about it. The Business Class check-in desk assistant, was unsympathetic and told us we could not check in our bags for the following day. We found someone else who told us we could check them in 24 hrs prior to departure, so we waited at the airport an further 2 hours and checked them in, after which we went back home. We were not offered a refund, nor told how to claim for the extra expenses incurred (train, change fees for the connecting flight to Zimbabwe, loss of one night stay at a very expensive safari lodge etc), we were not offered anything. Snooty, unprofessional, uncaring, disorganised (lack of) service. Avoid British Airways and find better and cheaper options."
